10.1111/ecog.02712
10.1111/j.0269-8463.2004.00907.x
10.1111/j.1461-0248.2009.01297.x
10.1371/journal.pone.0052813
10.1371/journal.pone.0124698
10.1890/130237
10.1002/asna.200510495
10.1016/S1387-6473(03)00039-3
10.1016/S1387-6473(03)00050-2
10.1016/S1387-6473(03)00129-5
10.1023/A:1002629126776
10.1046/j.1365-8711.1998.02047.x
10.1046/j.1365-8711.1999.02807.x
10.1046/j.1365-8711.1999.02949.x
10.1046/j.1365-8711.2000.03453.x
10.1046/j.1365-8711.2000.03621.x
10.1046/j.1365-8711.2000.03901.x
10.1046/j.1365-8711.2000.03944.x
10.1046/j.1365-8711.2001.04335.x
10.1046/j.1365-8711.2002.05138.x
10.1046/j.1365-8711.2002.05454.x
10.1046/j.1365-8711.2003.06053.x
10.1046/j.1365-8711.2003.06113.x
10.1046/j.1365-8711.2003.06215.x
10.1051/0004-6361:20030527
10.1051/0004-6361:20054745
10.1051/0004-6361:20065079
10.1051/0004-6361:20066986
10.1086/375397
10.1088/0004-637X/771/2/89
10.1111/j.1365-2966.2004.07857.x
10.1111/j.1365-2966.2006.10658.x
10.1111/j.1365-2966.2007.12460.x
10.1111/j.1365-2966.2007.12462.x
10.1111/j.1365-2966.2008.13486.x
10.1111/j.1365-2966.2010.16453.x
10.1111/j.1745-3933.2005.00017.x
10.1111/j.1745-3933.2005.00066.x
10.1002/2017WR021234
10.1007/s00454-017-9929-0
10.1007/s40948-018-0081-y
10.1039/C8EM00300A
10.1093/imrn/rnw341
10.1785/0220170112
10.1016/j.forsciint.2013.11.011
10.1111/rssc.12073
10.1002/14651858.CD012736
10.1038/ncomms1879
10.1093/trstmh/try103
10.1371/journal.pone.0016976
10.1016/j.geoforum.2012.10.001
10.1068/a43354
10.1068/d13063p
10.1080/07256868.2017.1386631
10.1080/14649365.2013.800220
10.1111/tran.12015
10.1177/0042098013505884
10.1177/0309132516645958
10.1177/1468796815577703
10.1177/204382061200200203
10.1016/j.earscirev.2004.08.003
10.1016/S0037-0738(01)00228-7
